univ_id,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students
166,165,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50,18815,13.6,0.3
166,167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,23895,13.6,0.14
168,168,University of Leeds,United Kingdom,46.2,50,48,55.6,38.3,49.8,27703,14.7,0.21
169,168,University of Würzburg,Germany,48.7,40.3,40.9,60.4,51.7,49.8,26576,38.4,0.08
169,170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7,24556,25.6,0.12
171,171,Sun Yatsen University,China,46.2,29.3,34.7,70.2,41.2,49.6,51351,16.6,0.08
172,172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4,31861,9.3,0.15
173,173,Bielefeld University,Germany,39.9,54.2,35.7,70.4,51.7,49.3,21428,67.8,0.08
174,174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45,40,49,25028,16.2,0.33
175,174,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49,14992,14.7,0.28
175,174,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49,30144,15,0.27
175,177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8,27545,4.1,0.19
178,178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52,27.8,48.5,29987,52.5,0.16
179,178,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5,50882,40.5,0.36
179,178,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5,32474,70.4,0.13
179,181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,12646,16.6,0.05
182,182,RWTH Aachen University,Germany,50,63.8,42.5,48.9,56.6,48.2,37917,27.6,0.16
183,183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,25779,22.2,0.07
184,184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,17755,18.8,0.28
185,185,University of Twente,Netherlands,49.9,62.4,48.3,42,49.8,47.5,6631,12,0.26
186,186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,51.7,47.3,10930,59.1,0.12
187,187,Karlsruhe Institute of Technology,Germany,45,47.3,35.4,60.7,40,47.2,25294,24.6,0.16
188,187,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35,47.2,18209,16.9,0.39
188,189,University of Tübingen,Germany,45.9,57.8,36.3,57.3,32.3,47,28327,38.9,0.12
190,190,Drexel University,United States of America,45,60.6,35.9,58.2,27.4,46.9,20713,10.8,0.18
191,190,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9,36108,15.7,0.06
191,190,Yonsei University,South Korea,43,28,48.7,52.2,40.4,46.9,24774,11.6,0.14
191,193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,51.7,46.8,15064,14.4,0.18
194,193,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100,46.8,12062,14.6,0.21
194,195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27,46.7,34651,20.5,0.25
196,196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5,23122,19,0.08
197,197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,51.7,46.4,24313,9.2,0.17
198,197,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4,47508,15.9,0.05
198,199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2,26640,28.3,0.19
200,199,Swedish University of Agricultural Sciences,Sweden,43.3,54.2,49.5,41.7,99.9,46.2,3879,4.6,0.19
